Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"22,945,069,855.00",7.47,"22,945,069,855.00","132,057,956.00",173.75,United States,NASDAQ,USD,1,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"20,496,870,853.35",6.67,"20,496,870,853.35","66,095,485.00",310.11,United States,NASDAQ,USD,1,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"8,880,127,293.40",2.89,"8,880,127,293.40","79,159,630.00",112.18,United States,NASDAQ,USD,1,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"6,242,287,110.18",2.03,"6,242,287,110.18","21,842,981.00",285.78,United States,NASDAQ,USD,1,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"6,164,792,676.43",2.01,"6,164,792,676.43","52,884,899.00",116.57,United States,NASDAQ,USD,1,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"5,389,384,120.40",1.75,"5,389,384,120.40","46,102,516.00",116.9,United States,NASDAQ,USD,1,USD,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"5,161,583,750.24",1.68,"5,161,583,750.24","15,997,966.00",322.64,United States,New York Stock Exchange Inc.,USD,1,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"4,659,947,715.33",1.52,"4,659,947,715.33","19,763,127.00",235.79,United States,NASDAQ,USD,1,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"4,109,386,554.00",1.34,"4,109,386,554.00","23,880,675.00",172.08,United States,NASDAQ,USD,1,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"4,054,903,986.84",1.32,"4,054,903,986.84","8,296,309.00",488.76,United States,New York Stock Exchange Inc.,USD,1,USD,-
XOM,EXXON MOBIL CORP,Energy,Equity,"3,868,192,519.38",1.26,"3,868,192,519.38","36,564,822.00",105.79,United States,New York Stock Exchange Inc.,USD,1,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"3,737,336,484.88",1.22,"3,737,336,484.88","23,214,712.00",160.99,United States,New York Stock Exchange Inc.,USD,1,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"3,543,378,850.05",1.15,"3,543,378,850.05","26,044,681.00",136.05,United States,New York Stock Exchange Inc.,USD,1,USD,-
V,VISA INC CLASS A,Financials,Equity,"3,333,098,908.75",1.08,"3,333,098,908.75","14,428,375.00",231.01,United States,New York Stock Exchange Inc.,USD,1,USD,-
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"3,234,073,872.09",1.05,"3,234,073,872.09","20,947,431.00",154.39,United States,New York Stock Exchange Inc.,USD,1,USD,-
LLY,ELI LILLY,Health Care,Equity,"3,049,974,590.10",0.99,"3,049,974,590.10","7,002,582.00",435.55,United States,New York Stock Exchange Inc.,USD,1,USD,-
MA,MASTERCARD INC CLASS A,Financials,Equity,"2,872,219,476.21",0.93,"2,872,219,476.21","7,491,639.00",383.39,United States,New York Stock Exchange Inc.,USD,1,USD,-
MRK,MERCK & CO INC,Health Care,Equity,"2,646,338,144.85",0.86,"2,646,338,144.85","22,512,447.00",117.55,United States,New York Stock Exchange Inc.,USD,1,USD,-
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"2,603,490,356.22",0.85,"2,603,490,356.22","9,049,638.00",287.69,United States,New York Stock Exchange Inc.,USD,1,USD,-
CVX,CHEVRON CORP,Energy,Equity,"2,467,609,253.04",0.8,"2,467,609,253.04","15,795,732.00",156.22,United States,New York Stock Exchange Inc.,USD,1,USD,-
PEP,PEPSICO INC,Consumer Staples,Equity,"2,388,810,906.60",0.78,"2,388,810,906.60","12,228,990.00",195.34,United States,NASDAQ,USD,1,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"2,328,971,418.01",0.76,"2,328,971,418.01","3,710,503.00",627.67,United States,NASDAQ,USD,1,USD,-
ABBV,ABBVIE INC,Health Care,Equity,"2,301,878,582.65",0.75,"2,301,878,582.65","15,702,835.00",146.59,United States,New York Stock Exchange Inc.,USD,1,USD,-
KO,COCA-COLA,Consumer Staples,Equity,"2,206,915,516.72",0.72,"2,206,915,516.72","34,558,652.00",63.86,United States,New York Stock Exchange Inc.,USD,1,USD,-
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"1,977,449,611.34",0.64,"1,977,449,611.34","3,940,006.00",501.89,United States,NASDAQ,USD,1,USD,-
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"1,917,133,748.52",0.62,"1,917,133,748.52","6,503,388.00",294.79,United States,New York Stock Exchange Inc.,USD,1,USD,-
WMT,WALMART INC,Consumer Staples,Equity,"1,906,605,528.96",0.62,"1,906,605,528.96","12,451,708.00",153.12,United States,New York Stock Exchange Inc.,USD,1,USD,-
PFE,PFIZER INC,Health Care,Equity,"1,873,066,944.76",0.61,"1,873,066,944.76","49,842,122.00",37.58,United States,New York Stock Exchange Inc.,USD,1,USD,-
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"1,844,932,219.36",0.6,"1,844,932,219.36","3,482,384.00",529.79,United States,New York Stock Exchange Inc.,USD,1,USD,-
CRM,SALESFORCE INC,Information Technology,Equity,"1,806,663,235.67",0.59,"1,806,663,235.67","8,879,261.00",203.47,United States,New York Stock Exchange Inc.,USD,1,USD,-
ABT,ABBOTT LABORATORIES,Health Care,Equity,"1,703,752,941.30",0.55,"1,703,752,941.30","15,481,626.00",110.05,United States,New York Stock Exchange Inc.,USD,1,USD,-
